title,date,description,url
"Failed twice: weak learning in school, few skills learned on the job ",2026-06-10,"Atlas of Global Development data show that while school enrollment has risen, learning outcomes remain weak and many workers lack opportunities to build skills on the job, limiting human capital and earnings growth.",https://blogs.worldbank.org/en/opendata/failed-twice--weak-learning-in-school--few-skills-learned-on-the
Can we even measure progress? The state of development data,2026-05-28,"The World Bank Group Atlas of Global Development 2026 shows how outdated surveys, missing learning assessments, and weak statistical systems are limiting countries’ ability to track poverty, health, education, and economic progress.",https://blogs.worldbank.org/en/opendata/can-we-even-measure-progress--the-state-of-development-data
Five things you can learn from the new Human Capital Index Plus (HCI+),2026-04-20,"The World Bank’s Human Capital Index Plus shows how health, education, and jobs shape lifetime earnings. Explore global data, gender gaps, and policy simulations through the HCI+ app.",https://blogs.worldbank.org/en/opendata/five-things-you-can-learn-from-the-new-human-capital-index-plus-
New Statistical Performance Indicators (SPI) data release: How are national statistical systems performing?,2025-11-24,The 2025 update of the Statistical Performance Indicators shows global progress has stalled since COVID-19—while lower-income countries continue to close gaps in data services and infrastructure.,https://blogs.worldbank.org/en/opendata/new-statistical-performance-indicators--spi--data-release--how-a
Inside the World Development Indicators: How do we select the indicators?,2025-03-19,"The World Development Indicators (WDI) database selects indicators based on quality, coverage, relevance, and usability. Learn how the World Bank ensures global development data remains rigorous and reliable.",https://blogs.worldbank.org/en/opendata/inside-the-world-development-indicators--how-do-we-select-the-in
"Teaching that works: Lessons from 3,000 classrooms",2025-03-05,NA,https://blogs.worldbank.org/en/education/Teaching-that-works-Lessons-from-3000-classrooms
Global academic research is skewed toward rich countries. How do World Bank policy research papers fit in?,2024-07-15,"Explore how World Bank Policy Research Papers address the skew in global academic research favoring rich countries, offering vital insights for low- and middle-income nations often overlooked in scholarly studies.",https://blogs.worldbank.org/en/opendata/global-academic-research-is-skewed-toward-rich-countries--how-do
Missing evidence: tracking academic data use around the world ,2024-02-08,The full value of data rests in its conversion to public policies or when is used to increase accountability. Academic research is a major source of these insights. But how can we tell if countries are getting the most of the data they produce through academic research?,NA
New SPI data: Seven charts to understand the performance of national statistical systems around the world,2024-01-18,The World Bank released new data for the Statistical Performance Indicators (SPI)—a set of 50+ indicators which measure the performance of national statistical systems around the globe.,https://blogs.worldbank.org/en/opendata/new-spi-data-seven-charts-understand-performance-national-statistical-systems-around-world
Unpacking the Mystery of Missing Gender Data,2023-09-28,"In a recent working paper, “Missing SDG Gender Indicators”, we examine coverage of gender data in the SDG monitoring framework and find that only a third of gender related SDG data are available. Moreover, we try to unpack what drives this lack of data.",https://blogs.worldbank.org/en/opendata/unpacking-mystery-missing-gender-data
Rebuilding economies after COVID-19: Will countries recover?,2023-09-06,"SDG 8 aims to promote sustained, inclusive, and sustainable economic growth, full employment, and decent work for all. But COVID-19 caused the deepest global recession in decades, reducing global GDP by 3.1 percent in 2020.",NA
Rebuilding education systems after COVID-19: How the pandemic has impacted schooling and learning ,2023-08-02,"Progress towards SDG 4, which aims to provide high-quality education and lifelong learning opportunities for all children, was severely disrupted by COVID-19.",NA
Beyond hunger: A healthy diet for a healthy life,2023-07-19,"SDG 2 calls for ending hunger and achieving nutrition security for all through increased access to healthy diets. Today, 3.1 billion people cannot afford a healthy diet – that is 40 percent of the global population.",NA
What is driving the learning crisis? Clues from the initial rollout of the Global Education Policy Dashboard,2023-05-25,"With an estimated 70% of 10-year-olds unable to read a simple text, education systems are in a learning crisis. There is an urgent need to invest in education, but given strained budgets, that investment ought to be strategic.",https://blogs.worldbank.org/en/education/what-driving-learning-crisis-clues-initial-rollout-global-education-policy-dashboard
Better data for boosting student learning ,2023-01-17,"In our previous post, we emphasized the need for rigorous data that can inform investment and guide policy making for education in low- and middle-income countries. This need has only grown since the onset of the COVID-19 pandemic, which has sharply worsened learning outcomes while also tightening education budgets and in many cases forcing countries to do more with less.",NA
Not all data are created equal: why the adoption of international data standards pays off,2021-09-01,"In 2010, Ghana made international headlines when its nominal GDP grew 63% overnight as a result of adopting revised standards for its system of national accounts. When Nigeria rebased its GDP in 2014 for the first time in 24 years...",NA
Are we there yet? Many countries don't report progress on all SDGs according to the World Bank's new Statistical Performance Indicators ,2021-08-10,"The 17 SDGs lay out a uniquely ambitious and comprehensive agenda for global development until 2030. However, achieving these goals is not the only challenge. Monitoring progress towards these goals represents an enormous task for countries’ statistical systems. ",NA
Will every child be able to read by 2030?,2021-05-03,Will every child be able to read by 2030?,NA
The Statistical Performance Indicators: A new tool to measure the performance of national statistical systems,2021-03-31,"Today, the World Bank is launching the Statistical Performance Indicators (SPI) – a new set of indicators to measure the performance of national statistical systems in 174 economies from 2016 to 2019.",https://blogs.worldbank.org/en/opendata/statistical-performance-indicators-new-tool-measure-performance-national-statistical
